,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,category_id,Category
0,2kyS6SvSYSE,2017-11-14,2017-11-13 17:13:01+00:00,748374,57527,2966,15954,22,People & Blogs
1,1ZAPwfrtAFY,2017-11-14,2017-11-13 07:30:00+00:00,2418783,97185,6146,12703,24,Entertainment
2,5qpjK5DgCt4,2017-11-14,2017-11-12 19:05:24+00:00,3191434,146033,5339,8181,23,Comedy
3,puqaWrEC7tY,2017-11-14,2017-11-13 11:00:04+00:00,343168,10172,666,2146,24,Entertainment
4,d380meD0W0M,2017-11-14,2017-11-12 18:01:41+00:00,2095731,132235,1989,17518,24,Entertainment
5,gHZ1Qz0KiKM,2017-11-14,2017-11-13 19:07:23+00:00,119180,9763,511,1434,28,Science & Technology
6,39idVpFF7NQ,2017-11-14,2017-11-12 05:37:17+00:00,2103417,15993,2445,1970,24,Entertainment
7,nc99ccSXST0,2017-11-14,2017-11-12 21:50:37+00:00,817732,23663,778,3432,28,Science & Technology
8,jr9QtXwC9vc,2017-11-14,2017-11-13 14:00:23+00:00,826059,3543,119,340,1,Film & Animation
9,TUmyygCMMGA,2017-11-14,2017-11-13 13:45:16+00:00,256426,12654,1363,2368,25,News & Politics
10,9wRQljFNDW8,2017-11-14,2017-11-13 02:05:26+00:00,81377,655,25,177,17,Sports
11,VifQlJit6A0,2017-11-14,2017-11-13 03:00:00+00:00,104578,1576,303,1279,24,Entertainment
12,5E4ZBSInqUU,2017-11-14,2017-11-13 17:00:00+00:00,687582,114188,1333,8371,10,Music
13,GgVmn66oK_A,2017-11-14,2017-11-12 14:00:00+00:00,544770,7848,1171,3981,25,News & Politics
14,TaTleo4cOs8,2017-11-14,2017-11-12 18:30:01+00:00,207532,7473,246,2120,15,Pets & Animals
15,kgaO45SyaO4,2017-11-14,2017-11-13 20:09:58+00:00,75752,9419,52,1230,28,Science & Technology
16,ZAQs-ctOqXQ,2017-11-14,2017-11-12 17:00:05+00:00,295639,8011,638,1256,23,Comedy
17,YVfyYrEmzgM,2017-11-14,2017-11-13 16:00:07+00:00,78044,5398,53,385,27,Education
18,eNSN6qet1kE,2017-11-14,2017-11-13 15:30:17+00:00,97007,11963,36,2211,28,Science & Technology
19,B5HORANmzHw,2017-11-14,2017-11-12 22:00:01+00:00,223871,8421,191,1214,27,Education
20,vU14JY3x81A,2017-11-14,2017-11-13 14:00:03+00:00,115791,9586,75,2800,27,Education
21,6VhU_T463sU,2017-11-14,2017-11-12 15:00:01+00:00,224019,3585,138,208,28,Science & Technology
22,_-aDHxoblr4,2017-11-14,2017-11-13 16:00:03+00:00,144418,11758,89,1014,27,Education
23,JBZTZZAcFTw,2017-11-14,2017-11-12 16:00:01+00:00,145921,1707,578,673,26,Howto & Style
24,lZ68j2J_GOM,2017-11-14,2017-11-13 14:44:24+00:00,33980,4884,52,234,23,Comedy
25,dRpNZV18N_g,2017-11-14,2017-11-12 14:00:04+00:00,223077,8676,193,1392,24,Entertainment
26,fcVjitaM3LY,2017-11-14,2017-11-13 12:13:36+00:00,80705,4687,41,437,28,Science & Technology
